"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"73,33333";"80";"93,33333";"80"
"2";"bupa";"41,17647";"55,88235";"50";"50";"55,88235"
"3";"segment";"79,65368";"84,41558";"87,44589";"88,31169";"88,31169"
"4";"waveform-5000";"63,72745";"66,93387";"69,6";"69,93988";"71,74349"
"5";"phishingData";"90,40724";"90,3255";"91,13924";"91,59132";"92,40506"
"6";"mushroom";"97,78052";"98,64699";"99,13793";"99,38424";"99,13793"
"7";"pima";"57,89474";"59,74026";"61,03896";"59,74026";"64,93506"
"8";"vehicle";"37,64706";"44,04762";"54,11765";"59,30233";"56,47059"
"9";"wilt";"94,43299";"93,38843";"94,40994";"96,06625";"95,44513"
"10";"kr-vs-kp";"87,1875";"89,6875";"92,8125";"94,6875";"96,25"
"11";"blood-transfusion-service";"68";"70,66667";"64";"73,33333";"65,33333"
"12";"cnae-9";"45,37037";"59,25926";"63,88889";"62,03704";"65,74074"
"13";"connectionist-mines-vs-rocks";"52,38095";"57,14286";"55";"40,90909";"45,45455"
"14";"flare";"67,3913";"67,85714";"69,28571";"66,66667";"70,28986"
"15";"indian-liver-patient";"69,49153";"70,68966";"62,71186";"62,71186";"62,06897"
"16";"leukemia-haslinger";"44,44444";"40";"33,33333";"40";"40"
"17";"mammographic-mass";"78,35052";"76,04167";"74,73684";"75";"79,16667"
"18";"mfeat-karhunen";"49,5";"57,5";"58,5";"64,5";"70,5"
"19";"musk";"93,77845";"97,27273";"97,42424";"98,02731";"98,48255"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"81,18182";"82,87796";"88,88889";"89,19164";"90,46322"
"22";"planning-relax";"68,42105";"61,11111";"68,42105";"68,42105";"68,42105"
"23";"seeds";"33,33333";"76,19048";"66,66667";"80,95238";"76,19048"
"24";"semeion";"38,75";"43,125";"46,54088";"56,875";"48,73418"
"25";"spectf-heart";"63,88889";"65,71429";"66,66667";"67,64706";"71,42857"
"26";"tic-tac-toe";"55,20833";"56,25";"61,85567";"75";"73,68421"
"27";"twonorm";"71,08108";"75,54054";"78,37838";"78,40756";"75,84345"
"28";"hill-valley-with-noise";"41,80328";"40";"44,6281";"40,83333";"40"
"29";"balance-scale";"53,96825";"57,37705";"66,66667";"65,57377";"65,07937"
"30";"car";"73,83721";"78,73563";"83,23699";"86,78161";"84,9711"
