"tx_g","it_g","bd_g","thrConf_g","nr_added_exs_g"
5,1,1,0.9,0
10,1,1,0.9,38
10,2,1,0.744444444444444,65
15,1,1,0.9,97
20,1,1,0.9,92
25,1,1,0.9,52
25,2,1,0.785380116959064,34
5,1,2,0.9,188
5,2,2,0.879084967320261,55
10,1,2,0.9,179
10,2,2,0.867320261437908,0
15,1,2,0.9,92
15,2,2,0.75359477124183,125
20,1,2,0.9,86
20,2,2,0.745751633986928,56
20,3,2,0.628334111422347,62
25,1,2,0.9,81
25,2,2,0.73921568627451,0
5,1,3,0.9,0
10,1,3,0.9,0
15,1,3,0.9,0
20,1,3,0.9,0
25,1,3,0.9,0
5,1,4,0.9,0
10,1,4,0.9,26
10,2,4,0.686831275720165,0
15,1,4,0.9,17
15,2,4,0.668312757201646,43
15,3,4,0.561248285322359,0
20,1,4,0.9,0
25,1,4,0.9,0
5,1,5,0.9,0
10,1,5,0.9,0
15,1,5,0.9,31
15,2,5,0.678260869565217,165
20,1,5,0.9,0
25,1,5,0.9,0
5,1,6,0.9,0
10,1,6,0.9,51
10,2,6,0.662847222222222,468
15,1,6,0.9,0
20,1,6,0.9,0
25,1,6,0.9,0
