"tx","bd","acc_g"
5,1,33.3333333333333
10,1,58.3333333333333
15,1,91.6666666666667
20,1,91.6666666666667
25,1,91.6666666666667
5,2,50.6172839506173
10,2,56.7901234567901
15,2,65.4320987654321
20,2,64.1975308641975
25,2,69.1358024691358
5,3,55.8139534883721
10,3,58.1395348837209
15,3,58.1395348837209
20,3,55.8139534883721
25,3,55.8139534883721
5,4,36.5384615384615
10,4,28.8461538461538
15,4,34.6153846153846
20,4,36.5384615384615
25,4,36.5384615384615
5,5,73.6842105263158
10,5,73.6842105263158
15,5,65.7894736842105
20,5,73.6842105263158
25,5,73.6842105263158
5,6,34.8958333333333
10,6,69.7916666666667
15,6,63.0208333333333
20,6,63.0208333333333
25,6,69.7916666666667
