"tx_g","it_g","bd_g","thrConf_g","nr_added_exs_g"
5,1,"iris",0.9,0
10,1,"iris",0.9,38
10,2,"iris",0.744444444444444,65
15,1,"iris",0.9,97
20,1,"iris",0.9,92
25,1,"iris",0.9,52
25,2,"iris",0.785380116959064,34
5,1,"phishing",0.9,0
10,1,"phishing",0.9,0
15,1,"phishing",0.9,0
20,1,"phishing",0.9,0
25,1,"phishing",0.9,0
5,1,"letter",0.9,6322
5,2,"letter",0.765706655443,5382
5,3,"letter",0.683329401936739,1868
5,4,"letter",0.566670092794166,281
5,5,"letter",0.442768247647082,257
5,6,"letter",0.410595286302225,0
10,1,"letter",0.9,4361
10,2,"letter",0.719322736632999,5200
10,3,"letter",0.652320380313439,2635
10,4,"letter",0.57296399719864,670
10,5,"letter",0.471742102172125,286
10,6,"letter",0.388702738270823,345
10,7,"letter",0.320059560629722,12
15,1,"letter",0.9,8985
15,2,"letter",0.82636574812109,1523
15,3,"letter",0.62380354246103,1437
15,4,"letter",0.511422515311363,434
15,5,"letter",0.422594532601956,196
15,6,"letter",0.36248624176419,174
15,7,"letter",0.26519639560593,0
20,1,"letter",0.9,6242
20,2,"letter",0.759261245979291,2589
20,3,"letter",0.61162941779638,2182
20,4,"letter",0.531298574516115,657
20,5,"letter",0.457630287119902,269
20,6,"letter",0.39409111289613,38
20,7,"letter",0.296819114977305,31
25,1,"letter",0.9,7316
25,2,"letter",0.78699886890998,2574
25,3,"letter",0.630943571977958,934
25,4,"letter",0.514428569878393,230
25,5,"letter",0.430329112601922,123
25,6,"letter",0.360058056905706,66
25,7,"letter",0.247999664397887,15
5,1,"bupa",0.9,0
10,1,"bupa",0.9,0
15,1,"bupa",0.9,0
20,1,"bupa",0.9,0
25,1,"bupa",0.9,0
5,1,"segment",0.9,1214
5,2,"segment",0.860029515694606,294
5,3,"segment",0.674310375572504,142
10,1,"segment",0.9,953
10,2,"segment",0.816321044546851,545
10,3,"segment",0.67970952095486,65
15,1,"segment",0.9,1122
15,2,"segment",0.847371504265875,252
15,3,"segment",0.621330461968401,102
20,1,"segment",0.9,1052
20,2,"segment",0.832935845244198,43
20,3,"segment",0.61326032963765,294
25,1,"segment",0.9,1048
25,2,"segment",0.830023130199768,88
25,3,"segment",0.605171448194732,166
5,1,"haberman",0.9,0
10,1,"haberman",0.9,0
15,1,"haberman",0.9,31
15,2,"haberman",0.678260869565217,165
20,1,"haberman",0.9,0
25,1,"haberman",0.9,0
5,1,"pima",0.9,0
10,1,"pima",0.9,51
10,2,"pima",0.662847222222222,468
15,1,"pima",0.9,0
20,1,"pima",0.9,0
25,1,"pima",0.9,0
5,1,"cleveland",0.9,0
10,1,"cleveland",0.9,0
15,1,"cleveland",0.9,0
20,1,"cleveland",0.9,0
25,1,"cleveland",0.9,0
