"tx_g","it_g","bd_g","thrConf_g","nr_added_exs_g"
5,1,1,0.9,727
5,2,1,0.866886456305738,97
5,3,1,0.635719458195587,102
5,4,1,0.511675437868165,36
5,5,1,0.37813916597653,2
10,1,1,0.9,649
10,2,1,0.840753616848296,132
10,3,1,0.632187840739203,96
10,4,1,0.498977627857565,33
10,5,1,0.36911571101958,3
15,1,1,0.9,580
15,2,1,0.817051273027954,166
15,3,1,0.6341589694755,70
15,4,1,0.491077453818362,40
15,5,1,0.375471025768079,5
15,6,1,0.300383711705415,1
20,1,1,0.9,546
20,2,1,0.803916589813537,141
20,3,1,0.616412397794728,87
20,4,1,0.481429910496842,36
20,5,1,0.361386114884559,2
25,1,1,0.9,499
25,2,1,0.788777526792941,139
25,3,1,0.608031367960311,79
25,4,1,0.474004885166899,39
25,5,1,0.359575182245393,5
